,longitude,latitude,price_sqm,living_area_sqm,price,cluster
172,25.1359918499464,60.5796431,"[4768, 5586, 5143]","[88.0, 88.0, 60.0]","[419584.0, 491568.0, 308580.0]",0
173,25.136006100000003,60.5855159,"[5917, 6105, 4278, 6164, 5888, 4973, 6607, 6315, 4898, 5788, 5751, 5888, 6451]","[53.0, 53.0, 70.5, 47.0, 47.0, 53.0, 76.5, 93.0, 53.0, 46.5, 39.0, 53.0, 39.0]","[313601.0, 323565.0, 301599.0, 289708.0, 276736.0, 263569.0, 505435.5, 587295.0, 259594.0, 269142.0, 224289.0, 312064.0, 251589.0]",5
174,25.136013955268307,60.58682825,"[5473, 5533, 5838, 5234, 5771]","[94.0, 59.0, 59.0, 92.0, 113.0]","[514462.0, 326447.0, 344442.0, 481528.0, 652123.0]",0
175,25.1360985612746,60.59109155,"[5411, 5299, 6045]","[31.0, 45.0, 45.0]","[167741.0, 238455.0, 272025.0]",1
176,25.136101865887905,60.58014785,"[3615, 3682, 3716]","[44.5, 70.5, 55.0]","[160867.5, 259581.0, 204380.0]",1
177,25.1361227733949,60.58923435,"[4127, 4176]","[63.2, 30.0]","[260826.40000000002, 125280.0]",1
178,25.136169272963706,60.5964632,[3427],[155.0],[531185.0],0
179,25.136314499999997,60.58269250000001,"[6150, 7372, 6210, 6109]","[72.5, 52.5, 104.0, 72.5]","[445875.0, 387030.0, 645840.0, 442902.5]",0
180,25.1363994,60.59237140000001,[7694],[34.5],[265443.0],4
181,25.136448092525896,60.59206245,"[3431, 3281, 3865]","[88.0, 58.0, 88.0]","[301928.0, 190298.0, 340120.0]",4
182,25.136649825594397,60.58132360000001,"[5430, 6851, 4655, 4951, 5670, 4892, 6052]","[83.5, 96.0, 86.0, 83.5, 45.5, 83.5, 66.0]","[453405.0, 657696.0, 400330.0, 413408.5, 257985.0, 408482.0, 399432.0]",0
183,25.136666009677896,60.59137545,"[4412, 4813, 5028]","[74.4, 41.8, 41.8]","[328252.80000000005, 201183.4, 210170.4]",1
184,25.1367475,60.579815,[4975],[53.5],[266162.5],4
185,25.1368360376735,60.59282695,"[8849, 9461]","[30.5, 30.5]","[269894.5, 288560.5]",4
186,25.1369123841445,60.59390215,"[4629, 4694]","[55.5, 49.0]","[256909.5, 230006.0]",1
187,25.137094292946703,60.58215195,"[4387, 4345, 4679, 4570, 4943]","[82.0, 91.5, 62.5, 82.0, 75.0]","[359734.0, 397567.5, 292437.5, 374740.0, 370725.0]",0
188,25.137169500000002,60.5863646,[6758],[54.5],[368311.0],6
189,25.1371943368354,60.58403065,"[3981, 2991, 4490, 4175, 3560, 3964]","[68.0, 105.0, 47.5, 47.5, 57.5, 47.5]","[270708.0, 314055.0, 213275.0, 198312.5, 204700.0, 188290.0]",1
190,25.137210334223298,60.5796767,[2810],[120.0],[337200.0],9
191,25.137388089767605,60.58141095,"[5125, 5706, 5515, 5550, 5076, 5102]","[56.0, 96.0, 56.5, 56.5, 75.0, 96.5]","[287000.0, 547776.0, 311597.5, 313575.0, 380700.0, 492343.0]",7
192,25.137395110975906,60.58099825,"[3627, 3226, 3660, 3878]","[64.0, 60.0, 73.5, 58.5]","[232128.0, 193560.0, 269010.0, 226863.0]",1
193,25.1375438250911,60.58299375,"[5042, 5822, 4446, 4946, 4428, 4284]","[54.5, 54.5, 66.0, 71.0, 89.5, 88.5]","[274789.0, 317299.0, 293436.0, 351166.0, 396306.0, 379134.0]",9
194,25.13758275,60.59129615,[6143],[28.0],[172004.0],1
195,25.1376731237805,60.5825456,"[4872, 4680]","[64.5, 60.5]","[314244.0, 283140.0]",2
196,25.1376913448217,60.59284165,"[3607, 4143]","[56.0, 56.0]","[201992.0, 232008.0]",1
197,25.137828887891196,60.58439675,"[5113, 3143, 3288, 3540, 5057]","[30.0, 58.0, 58.0, 58.0, 58.0]","[153390.0, 182294.0, 190704.0, 205320.0, 293306.0]",1
198,25.1378399829111,60.59389545,"[4839, 4319, 5129, 4779]","[108.5, 51.0, 71.5, 71.5]","[525031.5, 220269.0, 366723.5, 341698.5]",3
199,25.13784145,60.580167200000005,"[4606, 4699, 3965, 5143, 4577]","[41.0, 40.5, 64.5, 37.5, 49.5]","[188846.0, 190309.5, 255742.5, 192862.5, 226561.5]",1
200,25.1379488929639,60.59333215,[4704],[93.5],[439824.0],0
201,25.138017814419108,60.58748660000001,"[3464, 5874, 4097]","[84.0, 78.0, 54.5]","[290976.0, 458172.0, 223286.5]",5
202,25.138098695721308,60.5797524,[4486],[51.0],[228786.0],1
203,25.1381919666887,60.59221915,"[4398, 5241, 6994, 4801, 5436, 4476]","[60.0, 41.0, 26.0, 79.0, 58.0, 90.0]","[263880.0, 214881.0, 181844.0, 379279.0, 315288.0, 402840.0]",2
204,25.138203,60.58352705,"[5710, 5561]","[67.0, 67.0]","[382570.0, 372587.0]",0
205,25.1382465609898,60.58670345,[6897],[32.5],[224152.5],1
206,25.1384185020679,60.5933178,"[4018, 3376, 6250, 4771]","[48.0, 43.0, 28.0, 43.0]","[192864.0, 145168.0, 175000.0, 205153.0]",11
207,25.138491345011396,60.58477285,"[3195, 2764, 2594, 3188, 3566, 2994, 3143, 3651, 3304, 3450, 4875, 3158]","[58.0, 58.0, 113.0, 78.0, 78.0, 57.0, 113.0, 61.0, 68.5, 68.5, 48.5, 68.5]","[185310.0, 160312.0, 293122.0, 248664.0, 278148.0, 170658.0, 355159.0, 222711.0, 226324.0, 236325.0, 236437.5, 216323.0]",1
208,25.138522344256,60.59292515,[5572],[28.0],[156016.0],0
209,25.138614396005696,60.58191215,"[4913, 4211, 5127]","[74.0, 74.0, 63.5]","[363562.0, 311614.0, 325564.5]",9
210,25.1386926206812,60.59384495,"[3595, 4106]","[81.0, 81.0]","[291195.0, 332586.0]",5
211,25.13872226964689,60.59090105,"[4360, 4910]","[80.5, 81.5]","[350980.0, 400165.0]",0
212,25.138822647494198,60.59666555,[5273],[38.5],[203010.5],1
213,25.1388450768223,60.5836363,"[3302, 3523, 3089, 3062, 5019, 3021, 4614, 3387]","[56.5, 50.0, 73.5, 56.5, 34.0, 73.5, 34.0, 67.5]","[186563.0, 176150.0, 227041.5, 173003.0, 170646.0, 222043.5, 156876.0, 228622.5]",1
214,25.1388762892413,60.58156455,"[4313, 3779, 3429, 5272, 3409, 3339]","[53.0, 70.0, 70.0, 31.0, 71.5, 71.5]","[228589.0, 264530.0, 240030.0, 163432.0, 243743.5, 238738.5]",1
215,25.138977349232697,60.58077370000001,"[2910, 4143, 3473]","[64.5, 84.0, 97.0]","[187695.0, 348012.0, 336881.0]",2
216,25.1389812849379,60.5853194,"[3935, 4465, 3667, 4185, 3803, 4063, 3902]","[72.0, 29.5, 51.5, 72.0, 51.5, 44.0, 58.0]","[283320.0, 131717.5, 188850.5, 301320.0, 195854.5, 178772.0, 226316.0]",0
217,25.138988825040197,60.58724095,"[5615, 5127, 5824, 6755, 5794]","[81.5, 122.0, 81.5, 33.5, 106.0]","[457622.5, 625494.0, 474656.0, 226292.5, 614164.0]",0
218,25.139144199999997,60.58595450000001,"[4332, 4766, 4796, 4453, 4316, 4569]","[92.5, 64.5, 60.5, 64.5, 104.0, 64.5]","[400710.0, 307407.0, 290158.0, 287218.5, 448864.0, 294700.5]",9
219,25.139171100953302,60.58028929999999,"[3981, 4244, 3949, 4699, 2956, 3810]","[80.0, 64.5, 64.5, 49.5, 80.0, 64.5]","[318480.0, 273738.0, 254710.5, 232600.5, 236480.0, 245745.0]",4
220,25.1392612992098,60.58194739999999,"[5177, 4725]","[59.5, 100.5]","[308031.5, 474862.5]",7
